compound_code	compound_name	lachnospiraceae_mock_score	mollicute_mock_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	1.08	-2.134	0.482	6.503	-1.647	60.0
C00024	Acetyl-CoA	-3.764	4.951	0.439	44.517	-4.289	90.0
C00026	2-Oxoglutarate	-0.652	1.415	0.589	4.238	-1.32	50.0
C06481	L-Seryl-tRNA(Sec)	-1.585	-3.907	0.2	18.001	-1.848	70.0
C00020	AMP	-0.678	3.285	0.164	11.347	-0.897	60.0
C00352	D-Glucosamine_6-phosphate	1.322	1.379	0.959	5.101	2.29	80.0
C00022	Pyruvate	-2.435	-3.222	0.58	14.738	-3.095	90.0
C00143	5,10-Methylenetetrahydrofolate	0.131	0.599	0.219	2.61	-0.809	60.0
C00144	GMP	-0.893	-2.888	0.251	9.259	-1.216	50.0
C00343	Thioredoxin_disulfide	-1.0	-4.585	0.083	26.001	-1.115	50.0
C00944	3-Dehydroquinate	-1.0	2.0	0.5	6.0	-1.585	60.0
C02430	L-Methionyl-tRNA	1.0	-3.17	0.222	11.0	-1.289	50.0
C00054	Adenosine_3',5'-bisphosphate	-1.0	-3.0	0.25	10.0	-1.322	50.0
C00620	alpha-D-Ribose_1-phosphate	4.087	3.858	0.944	31.495	4.894	90.0
C00627	Pyridoxine_phosphate	-1.0	-3.807	0.143	15.997	-1.193	50.0
C00100	Propanoyl-CoA	-1.322	-1.585	0.833	5.5	-2.196	80.0
C03688	Apo-[acyl-carrier-protein]	1.0	3.0	0.333	10.0	1.737	80.0
C00231	D-Xylulose_5-phosphate	-3.346	-2.656	0.62	16.471	-3.352	90.0
C00234	10-Formyltetrahydrofolate	0.598	-0.757	0.896	3.204	-1.521	60.0
C15812	[Enzyme]-S-sulfanylcysteine	1.585	1.585	1.0	6.0	2.585	80.0
C00011	CO2	4.966	6.409	0.775	116.232	6.493	90.0
C00014	Ammonia	-0.459	-3.619	0.112	13.661	-0.612	60.0
C00015	UDP	-3.087	-3.17	0.944	17.498	-4.046	90.0
C00018	Pyridoxal_phosphate	-1.0	-3.807	0.143	15.997	-1.193	50.0
C00065	L-Serine	-0.355	-1.578	0.428	4.265	-0.869	60.0
C00493	Shikimate	0.341	1.047	0.326	3.333	0.118	70.0
C05345	beta-D-Fructose_6-phosphate	3.763	1.412	0.375	16.237	2.607	90.0
C00221	beta-D-Glucose	-1.064	3.459	0.19	13.087	-1.315	50.0
C05822	3'-CMP	-1.0	-2.807	0.286	8.998	-1.363	50.0
C00229	Acyl-carrier_protein	-1.0	-3.0	0.25	10.0	-1.322	50.0
C00095	D-Fructose	-2.0	-1.0	0.5	6.0	-1.585	60.0
C00655	Xanthosine_5'-phosphate	0.369	3.115	0.118	9.955	0.238	70.0
C00118	D-Glyceraldehyde_3-phosphate	6.136	2.4	0.391	75.605	4.886	90.0
C03125	L-Cysteinyl-tRNA(Cys)	-2.322	-4.087	0.294	21.995	-2.694	80.0
C00008	ADP	-2.415	3.97	0.34	21.004	-2.838	80.0
C00006	NADP+	1.0	-2.0	0.5	6.0	-1.585	60.0
C00002	ATP	2.524	-4.36	0.28	26.287	-2.88	80.0
C00369	Starch	0.893	0.874	0.979	3.69	1.853	80.0
C00250	Pyridoxal	1.0	3.807	0.263	15.997	2.071	80.0
C00251	Chorismate	-0.297	0.585	0.819	2.729	-1.16	50.0
C00254	Prephenate	0.632	0.19	0.301	2.69	-0.306	60.0
C00255	Riboflavin	2.322	3.0	0.774	13.0	3.331	90.0
C05336	Selenomethionyl-tRNA(Met)	-1.0	-3.585	0.167	14.0	-1.222	50.0
C01083	alpha,alpha-Trehalose	-2.0	-3.0	0.5	12.0	-2.585	80.0
C01931	L-Lysyl-tRNA	-1.0	-3.907	0.133	17.001	-1.181	50.0
C00314	Pyridoxine	1.0	3.807	0.263	15.997	2.071	80.0
C00886	L-Alanyl-tRNA	-1.585	-3.459	0.273	13.997	-1.933	70.0
C00092	D-Glucose_6-phosphate	-3.459	-3.655	0.873	23.594	-4.364	90.0
C00093	sn-Glycerol_3-phosphate	-1.893	3.256	0.389	13.267	-2.367	80.0
C00882	Dephospho-CoA	1.585	-3.807	0.214	16.997	-1.865	70.0
C00097	L-Cysteine	0.415	3.907	0.106	16.334	0.795	70.0
C00078	L-Tryptophan	0.585	2.585	0.226	7.5	0.763	70.0
C00079	L-Phenylalanine	-0.097	2.807	0.153	8.068	-0.302	70.0
C00993	D-Alanyl-D-alanine	-1.585	-1.0	0.667	5.0	-1.737	70.0
C00073	L-Methionine	3.585	-0.322	0.104	13.25	-0.465	60.0
C00074	Phosphoenolpyruvate	-0.848	-3.874	0.123	16.462	-1.015	60.0
C00075	UTP	2.619	4.061	0.645	22.834	3.88	90.0
C00979	O-Acetyl-L-serine	-0.585	-3.15	0.169	10.377	-0.81	60.0
C06194	2',3'-Cyclic_GMP	1.0	2.807	0.356	8.998	1.681	80.0
C06193	Guanosine_3'-phosphate	-1.0	-2.807	0.286	8.998	-1.363	50.0
C00123	L-Leucine	0.222	3.585	0.062	13.167	-0.295	70.0
C02353	2',3'-Cyclic_AMP	1.0	2.807	0.356	8.998	1.681	80.0
C00242	Guanine	1.0	-2.322	0.4	7.0	-1.485	60.0
C02355	2',3'-Cyclic_UMP	1.0	2.807	0.356	8.998	1.681	80.0
C02354	2',3'-Cyclic_CMP	1.0	2.807	0.356	8.998	1.681	80.0
C00089	Sucrose	2.0	5.044	0.397	36.991	3.875	90.0
C02218	Dehydroalanine	-1.585	-3.0	0.375	11.0	-2.044	70.0
C00673	2-Deoxy-D-ribose_5-phosphate	-1.0	4.248	0.105	21.001	-1.144	50.0
C00160	Glycolate	-1.0	-2.0	0.5	6.0	-1.585	60.0
C00163	Propanoate	1.0	3.7	0.27	14.996	2.019	80.0
C02984	L-Aspartyl-tRNA(Asp)	-2.0	-3.807	0.286	17.997	-2.363	80.0
C02987	L-Glutamyl-tRNA(Glu)	-2.0	-3.322	0.4	14.0	-2.485	80.0
C03263	Coproporphyrinogen_III	1.0	3.17	0.315	11.0	1.795	80.0
C02047	L-Leucyl-tRNA	-1.0	-3.585	0.167	14.0	-1.222	50.0
