compound_code	compound_name	lactobacillus_mock_score	olsenella_mock_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	5.296	0.485	0.092	40.687	1.898	60.0
C00024	Acetyl-CoA	-9.954	-1.902	0.0	0.0	0.0	50.0
C00026	2-Oxoglutarate	4.063	-0.28	0.073	17.928	-0.381	80.0
C06481	L-Seryl-tRNA(Sec)	-6.728	-1.0	0.0	0.0	0.0	50.0
C00352	D-Glucosamine_6-phosphate	-6.083	0.848	0.027	69.59	-0.886	90.0
C00022	Pyruvate	-6.968	-1.846	0.0	0.0	0.0	50.0
C00029	UDP-glucose	-8.169	0.174	0.004	288.944	-0.18	70.0
C00144	GMP	3.868	-0.29	0.084	15.824	-0.406	80.0
C05356	5(S)-HPETE	1.0	1.0	1.0	4.0	2.0	70.0
C00620	alpha-D-Ribose_1-phosphate	8.039	0.585	0.073	264.515	4.267	80.0
C04742	(15S)-15-Hydroxy-5,8,11-cis-13-trans-eicosatetraenoate	-1.0	-1.0	0.0	0.0	0.0	50.0
C05966	15(S)-HPETE	1.0	1.0	1.0	4.0	2.0	70.0
C00231	D-Xylulose_5-phosphate	4.682	-0.451	0.053	27.037	-0.526	80.0
C00159	D-Mannose	8.689	1.322	0.152	415.215	5.981	80.0
C00011	CO2	-4.687	3.442	0.422	36.627	-3.95	90.0
C00014	Ammonia	3.83	-1.402	0.186	16.864	-1.648	90.0
C00015	UDP	4.04	-0.585	0.091	17.95	-0.711	80.0
C00019	S-Adenosyl-L-methionine	-0.322	-0.322	0.0	0.0	0.0	50.0
C00152	L-Asparagine	-2.97	1.585	0.383	10.835	-2.053	90.0
C00155	L-Homocysteine	-5.59	-0.322	0.0	0.0	0.0	50.0
C05345	beta-D-Fructose_6-phosphate	7.462	0.071	0.01	177.364	0.755	60.0
C00226	Primary_alcohol	8.907	3.807	0.427	494.033	7.722	90.0
C00385	Xanthine	-3.327	0.188	0.114	11.174	-0.343	70.0
C00655	Xanthosine_5'-phosphate	4.392	-0.181	0.054	22.129	-0.257	70.0
C00718	Amylose	-6.555	0.585	0.016	95.527	-0.608	80.0
C16217	3-Hydroxyoctadecanoyl-CoA	-7.14	-4.459	0.0	0.0	0.0	50.0
