Compound_code	Metabolite_name	Importance_score	p_value
C05528	3-Sulfopyruvate	0.0	n.s.
C05527	3-Sulfinylpyruvate	0.0	n.s.
C00149	(S)-Malate	2.322	n.s.
C00944	3-Dehydroquinate	0.0	n.s.
C05356	5(S)-HPETE	0.0	n.s.
C16595	4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one	7.704	<0.05
C02430	L-Methionyl-tRNA	3.585	n.s.
C15547	1,4-Dihydroxy-2-naphthoyl-CoA	-3.322	n.s.
C14819	Fe3+	0.0	n.s.
C14818	Fe2+	2.322	n.s.
C00436	N-Carbamoylputrescine	0.0	n.s.
C00827	Lactoyl-CoA	0.0	n.s.
C00826	L-Arogenate	0.0	n.s.
C00741	Diacetyl	-8.071	<0.05
C00534	Pyridoxamine	0.0	n.s.
C06126	Digalactosylceramide	6.954	<0.05
C01181	4-Trimethylammoniobutanoate	0.0	n.s.
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	-5.209	n.s.
C04874	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	-3.17	n.s.
C01185	Nicotinate_D-ribonucleotide	3.524	n.s.
C06128	GM4	3.322	n.s.
C15812	[Enzyme]-S-sulfanylcysteine	-5.0	n.s.
C15813	C15813	0.0	n.s.
C15811	[Enzyme]-cysteine	5.285	n.s.
C15814	C15814	0.0	n.s.
C03160	2-Succinylbenzoyl-CoA	-1.0	n.s.
C16688	Sucrose_6-phosphate	-4.459	n.s.
C05752	Octanoyl-[acp]	-2.322	n.s.
C00794	D-Sorbitol	-4.524	n.s.
C02067	Pseudouridine	5.0	n.s.
C00798	Formyl-CoA	0.0	n.s.
C00227	Acetyl_phosphate	-6.014	<0.05
C00226	Primary_alcohol	7.639	<0.05
C01236	D-Glucono-1,5-lactone_6-phosphate	7.219	<0.05
C00221	beta-D-Glucose	-7.943	<0.05
C00385	Xanthine	-4.313	n.s.
C00387	Guanosine	5.3	n.s.
C02504	alpha-Isopropylmalate	0.503	n.s.
C02505	2-Phenylacetamide	4.807	n.s.
C00229	Acyl-carrier_protein	-4.392	n.s.
C00380	Cytosine	0.0	n.s.
C00508	L-Ribulose	-4.392	n.s.
C00366	Urate	0.0	<0.05
C01801	Deoxyribose	6.285	n.s.
C00364	dTMP	0.0	n.s.
C00365	dUMP	-4.692	n.s.
C00362	dGMP	-3.459	n.s.
C00363	dTDP	5.17	n.s.
C00360	dAMP	0.0	n.s.
C00008	ADP	-6.646	<0.05
C05831	3-Methoxyanthranilate	0.0	n.s.
C00006	NADP+	6.011	n.s.
C00005	NADPH	-6.16	n.s.
C00003	NAD+	-1.138	n.s.
C00002	ATP	-6.267	<0.05
C00369	Starch	4.807	n.s.
C05703	Methaneselenol	-6.16	n.s.
C04088	Octadecanoyl-[acyl-carrier_protein]	-3.7	n.s.
C00632	3-Hydroxyanthranilate	0.0	n.s.
C03586	2-Oxo-2,3-dihydrofuran-5-acetate	-3.907	n.s.
C16619	6-Thioguanosine_monophosphate	-4.524	n.s.
C16618	6-Thioxanthine_5'-monophosphate	4.585	n.s.
C02612	(R)-2-Methylmalate	0.585	<0.05
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	-3.17	n.s.
C16614	6-Methylmercaptopurine	3.17	n.s.
C00645	N-Acetyl-D-mannosamine	-4.629	n.s.
C00644	D-Mannitol_1-phosphate	-2.807	n.s.
C00647	Pyridoxamine_phosphate	0.0	n.s.
C00310	D-Xylulose	0.0	n.s.
C00641	1,2-Diacyl-sn-glycerol	3.7	n.s.
C01931	L-Lysyl-tRNA	-4.322	n.s.
C00314	Pyridoxine	8.055	<0.05
C04494	Guanosine_3'-diphosphate_5'-triphosphate	4.0	n.s.
C00092	D-Glucose_6-phosphate	-6.582	n.s.
C00093	sn-Glycerol_3-phosphate	-1.463	n.s.
C00095	D-Fructose	4.824	n.s.
C00096	GDP-mannose	5.755	n.s.
C00097	L-Cysteine	-5.926	n.s.
C14099	2-Naphthaldehyde	-7.639	<0.05
C06311	Galactitol_1-phosphate	0.0	<0.05
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-5.141	n.s.
C14090	1-Naphthaldehyde	-7.639	<0.05
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	-5.524	n.s.
C02282	Glutaminyl-tRNA	4.03	n.s.
C06196	2'-Deoxyinosine_5'-phosphate	-6.209	n.s.
C03232	3-Phosphonooxypyruvate	2.678	n.s.
C04734	1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide	0.0	n.s.
C05172	Selenophosphoric_acid	0.0	n.s.
C11948	2,6-Dimethyl-5-methylene-3-oxo-heptanoyl-CoA	2.585	n.s.
C11949	3-Isopropylbut-3-enoyl-CoA	-2.585	n.s.
C06199	Hordenine	0.0	n.s.
C07118	Benzoyl_acetyl-CoA	2.585	n.s.
C14762	13(S)-HODE	4.392	n.s.
C00870	4-Nitrophenol	-3.17	n.s.
C14765	13-OxoODE	-4.392	n.s.
C00166	Phenylpyruvate	0.0	n.s.
C00167	UDP-glucuronate	0.0	n.s.
C00160	Glycolate	-4.74	n.s.
C03794	N6-(1,2-Dicarboxyethyl)-AMP	-1.0	n.s.
C00162	Fatty_acid	0.0	n.s.
C00163	Propanoate	6.615	n.s.
C02984	L-Aspartyl-tRNA(Asp)	-4.459	n.s.
C02987	L-Glutamyl-tRNA(Glu)	-4.322	n.s.
C00438	N-Carbamoyl-L-aspartate	-1.585	n.s.
C02047	L-Leucyl-tRNA	-4.755	n.s.
C03082	4-Phospho-L-aspartate	5.44	n.s.
C04377	5,10-Methylenetetrahydromethanopterin	-5.087	n.s.
C04376	5'-Phosphoribosyl-N-formylglycinamide	2.0	n.s.
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	3.147	n.s.
C03089	5-Methylthio-D-ribose	0.0	n.s.
C00860	L-Histidinol	0.0	n.s.
C02962	D-Allose_6-phosphate	0.0	n.s.
C00864	Pantothenate	4.087	n.s.
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	0.0	n.s.
C01380	Ethylene_glycol	1.0	n.s.
C00906	5,6-Dihydrothymine	0.0	n.s.
C01419	Cys-Gly	2.322	n.s.
C03360	4-Nitrophenyl_phosphate	3.17	n.s.
C01149	4-Trimethylammoniobutanal	0.0	n.s.
C01412	Butanal	6.216	n.s.
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	-2.954	n.s.
C04421	N-Succinyl-LL-2,6-diaminoheptanedioate	2.322	n.s.
C01143	(R)-5-Diphosphomevalonate	2.0	n.s.
C06040	Diglucosyl-diacylglycerol	-5.755	n.s.
C03402	L-Asparaginyl-tRNA(Asn)	-4.222	n.s.
C17962	Demethylphosphinothricin	3.17	n.s.
C03406	N-(L-Arginino)succinate	2.585	n.s.
C05512	Deoxyinosine	4.492	n.s.
C07645	Aldophosphamide	7.704	<0.05
C07648	Thioguanine	3.17	n.s.
C05519	L-Allothreonine	0.0	n.s.
C00327	L-Citrulline	2.722	n.s.
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	4.322	n.s.
C05269	3-Oxohexanoyl-CoA	0.0	n.s.
C00695	Cholic_acid	-6.907	<0.05
C18096	D-Allulose_6-phosphate	0.0	n.s.
C00269	CDP-diacylglycerol	-2.459	n.s.
