Compound_code	Metabolite_name	Importance_score	p_value
C00025	L-Glutamate	6.127	<0.05
C00024	Acetyl-CoA	0.0	n.s.
C00026	2-Oxoglutarate	-5.719	<0.05
C00020	AMP	-6.304	<0.05
C00022	Pyruvate	0.0	n.s.
C00143	5,10-Methylenetetrahydrofolate	0.0	n.s.
C00141	3-Methyl-2-oxobutanoic_acid	0.0	n.s.
C00029	UDP-glucose	5.995	<0.05
C00147	Adenine	-7.226	n.s.
C00149	(S)-Malate	0.0	n.s.
C00944	3-Dehydroquinate	7.858	<0.05
C03838	5'-Phosphoribosylglycinamide	8.484	<0.05
C03722	Quinolinate	0.0	<0.05
C05356	5(S)-HPETE	8.185	<0.05
C05729	R-S-Cysteinylglycine	8.741	<0.05
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	0.0	<0.05
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	0.0	n.s.
C04377	5,10-Methylenetetrahydromethanopterin	0.0	<0.05
C04742	(15S)-15-Hydroxy-5,8,11-cis-13-trans-eicosatetraenoate	-8.185	<0.05
C04376	5'-Phosphoribosyl-N-formylglycinamide	-8.484	<0.05
C05966	15(S)-HPETE	8.185	<0.05
C05726	S-Substituted_L-cysteine	-8.741	<0.05
C00582	Phenylacetyl-CoA	6.19	<0.05
C00705	dCDP	0.0	n.s.
C06251	Lauroyl-KDO2-lipid_IV(A)	8.098	<0.05
C01345	dITP	-7.5	<0.05
C01344	dIDP	7.5	<0.05
C00234	10-Formyltetrahydrofolate	0.0	n.s.
C02637	3-Dehydroshikimate	-7.858	<0.05
C00014	Ammonia	-6.181	<0.05
C00015	UDP	0.0	n.s.
C05822	3'-CMP	0.0	<0.05
C06026	Di[3-deoxy-D-manno-octulosonyl]-lipid_A	-8.098	<0.05
C05345	beta-D-Fructose_6-phosphate	0.0	<0.05
C00387	Guanosine	7.119	n.s.
C00380	Cytosine	-7.119	n.s.
C00229	Acyl-carrier_protein	-8.098	<0.05
C04620	(3R)-3-Hydroxyoctanoyl-[acyl-carrier_protein]	0.0	n.s.
C05759	3-Oxotetradecanoyl-[acp]	0.0	<0.05
C01172	beta-D-Glucose_6-phosphate	-7.055	n.s.
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	0.0	<0.05
C01801	Deoxyribose	7.883	<0.05
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	0.0	<0.05
C00363	dTDP	7.5	<0.05
C00361	dGDP	8.899	<0.05
C02504	alpha-Isopropylmalate	0.0	n.s.
C16519	2-Succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate	8.484	<0.05
C00002	ATP	5.777	<0.05
C01185	Nicotinate_D-ribonucleotide	0.0	<0.05
C11544	2(alpha-D-Mannosyl)-D-glycerate	-7.883	<0.05
C06188	Salicin_6-phosphate	7.055	n.s.
C00253	Nicotinate	0.0	<0.05
C00251	Chorismate	7.931	<0.05
C03506	Indoleglycerol_phosphate	6.516	<0.05
C00255	Riboflavin	-7.693	<0.05
C01083	alpha,alpha-Trehalose	6.977	n.s.
C01242	S-Aminomethyldihydrolipoylprotein	0.0	<0.05
C03296	N2-Succinyl-L-arginine	-7.022	n.s.
C00885	Isochorismate	-7.931	<0.05
C00097	L-Cysteine	-8.741	<0.05
C06311	Galactitol_1-phosphate	-7.298	<0.05
C00078	L-Tryptophan	-6.516	<0.05
C00074	Phosphoenolpyruvate	-8.008	<0.05
C00075	UTP	0.0	n.s.
C00870	4-Nitrophenol	-7.693	<0.05
C06194	2',3'-Cyclic_GMP	0.0	<0.05
C06193	Guanosine_3'-phosphate	0.0	<0.05
C02353	2',3'-Cyclic_AMP	0.0	<0.05
C00242	Guanine	-7.119	n.s.
C02355	2',3'-Cyclic_UMP	0.0	<0.05
C02354	2',3'-Cyclic_CMP	0.0	<0.05
C00081	ITP	-7.5	<0.05
C00673	2-Deoxy-D-ribose_5-phosphate	-7.883	<0.05
C03794	N6-(1,2-Dicarboxyethyl)-AMP	0.0	n.s.
C03479	Folinic_acid	0.0	<0.05
C05931	N-Succinyl-L-glutamate	-7.238	n.s.
C05932	N-Succinyl-L-glutamate_5-semialdehyde	7.238	n.s.
C00104	IDP	7.5	<0.05
C00344	Phosphatidylglycerol	-8.209	<0.05
C00100	Propanoyl-CoA	-7.257	n.s.
C00101	Tetrahydrofolate	-4.632	<0.05
C00061	FMN	5.115	<0.05
C00063	CTP	0.0	n.s.
C00062	L-Arginine	7.022	n.s.
C00065	L-Serine	5.72	<0.05
C00064	L-Glutamine	0.0	n.s.
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	-8.353	<0.05
C20376	3-Ketopimeloyl-[acp]_methyl_ester	0.0	<0.05
C01419	Cys-Gly	8.741	<0.05
C03360	4-Nitrophenyl_phosphate	7.693	<0.05
C05761	Tetradecanoyl-[acp]	8.098	<0.05
C00279	D-Erythrose_4-phosphate	6.109	<0.05
C05762	3-Oxohexadecanoyl-[acp]	0.0	n.s.
C00008	ADP	-5.777	<0.05
C00479	Propanal	7.257	n.s.
C20062	2-(1,2-Epoxy-1,2-dihydrophenyl)acetyl-CoA	-6.19	<0.05
C00475	Cytidine	7.119	n.s.
C00117	D-Ribose_5-phosphate	-7.883	<0.05
C00111	Glycerone_phosphate	0.0	<0.05
C00112	CDP	0.0	n.s.
C20372	3-Ketoglutaryl-[acp]_methyl_ester	0.0	<0.05
C02972	Dihydrolipoylprotein	0.0	<0.05
C05750	3-Oxooctanoyl-[acp]	0.0	n.s.
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	8.353	<0.05
C05753	3-Oxodecanoyl-[acp]	0.0	n.s.
C16219	3-Oxostearoyl-[acp]	0.0	<0.05
C05756	3-Oxododecanoyl-[acp]	0.0	<0.05
C05757	(R)-3-Hydroxydodecanoyl-[acp]	0.0	<0.05
C00262	Hypoxanthine	-7.119	n.s.
C16217	3-Hydroxyoctadecanoyl-CoA	0.0	<0.05
C16216	3-Oxostearoyl-CoA	0.0	<0.05
C05817	(1R,6R)-6-Hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate	-8.484	<0.05
C01346	dUDP	0.0	n.s.
C00460	dUTP	0.0	n.s.
C00463	Indole	0.0	n.s.
C00121	D-Ribose	7.883	<0.05
C00122	Fumarate	-2.459	<0.05
C00286	dGTP	-8.899	<0.05
C00127	Glutathione_disulfide	-8.185	<0.05
C00294	Inosine	7.119	n.s.
C03892	Phosphatidylglycerophosphate	8.209	<0.05
C00680	meso-2,6-Diaminoheptanedioate	0.0	n.s.
C13952	UDP-N-acetyl-D-galactosaminuronic_acid	0.0	<0.05
C00689	alpha,alpha'-Trehalose_6-phosphate	-8.0	<0.05
C05378	beta-D-Fructose_1,6-bisphosphate	0.0	<0.05
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate	-6.109	<0.05
C03871	L-2-Amino-6-oxoheptanedioate	0.0	n.s.
C05747	(R)-3-Hydroxyhexanoyl-[acp]	0.0	<0.05
C05746	3-Oxohexanoyl-[acp]	0.0	<0.05
C05744	Acetoacetyl-[acp]	0.0	n.s.
C04618	(3R)-3-Hydroxybutanoyl-[acyl-carrier_protein]	0.0	n.s.
C04619	(3R)-3-Hydroxydecanoyl-[acyl-carrier_protein]	0.0	n.s.
C00458	dCTP	0.0	n.s.
C00459	dTTP	-7.5	<0.05
C01367	3'-AMP	0.0	<0.05
C00725	Lipoate	0.0	<0.05
C00051	Glutathione	8.185	<0.05
C00052	UDP-alpha-D-galactose	0.0	n.s.
C00212	Adenosine	7.119	n.s.
C01368	3'-UMP	0.0	<0.05
C05840	Iminoaspartate	0.0	<0.05
C00037	Glycine	-8.328	<0.05
C01697	Galactitol	7.298	<0.05
C00035	GDP	-8.631	<0.05
C00031	D-Glucose	-6.977	n.s.
C00131	dATP	8.631	<0.05
C16237	Protein_N6-(lipoyl)lysine	0.0	<0.05
C11516	2-(alpha-D-Mannosyl)-3-phosphoglycerate	7.883	<0.05
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	0.0	<0.05
C01050	UDP-N-acetylmuramate	0.0	<0.05
C16238	Lipoyl-AMP	0.0	n.s.
C00445	5,10-Methenyltetrahydrofolate	-7.488	<0.05
C04805	5(S)-HETE	-8.185	<0.05
C16220	3-Hydroxyoctadecanoyl-[acp]	0.0	<0.05
C01847	Reduced_FMN	0.0	n.s.
C00044	GTP	8.631	<0.05
C00206	dADP	-8.631	<0.05
C00203	UDP-N-acetyl-D-galactosamine	0.0	<0.05
